,Curvature,Speed,CarPosition,Class
4668,0.030729178339242935,276,333.6882629394531,Right
4669,-0.007877666503190994,276,311.82958984375,Right
4670,-0.015388812869787216,277,312.1755065917969,Right
4671,-0.010140576399862766,277,320.5079040527344,Right
4672,0.03813472390174866,277,328.72491455078125,Right
4673,-0.0023182795848697424,277,326.338134765625,Right
4674,0.00225311191752553,277,308.8349914550781,Right
4675,0.041486646980047226,277,329.0478820800781,Right
4676,-0.04184228181838989,277,306.2041931152344,Straight
4677,0.06524412333965302,277,333.914306640625,Straight
4678,0.014771612361073494,277,322.9435729980469,Straight
4679,-0.051693692803382874,277,300.7746276855469,Left
4680,-0.04419241473078728,279,298.7145080566406,Left
4681,0.021409988403320312,279,324.72991943359375,Left
4682,0.0020753731951117516,279,325.0380859375,Left
4683,-0.06843296438455582,279,300.1840515136719,Straight
4684,0.02074802666902542,279,330.8467712402344,Right
4685,-0.015189455822110176,279,311.5998840332031,Right
4686,0.0033482578583061695,279,318.0118408203125,Right
4687,-0.11122641712427139,279,260.2118225097656,Right
4688,0.016153700649738312,279,313.665283203125,Right
4689,0.04816057160496712,280,332.5348815917969,Right
4690,-0.01871078833937645,280,310.15374755859375,Right
4691,0.03151915222406387,280,329.7464599609375,Right
4692,-0.04442448541522026,280,306.8038024902344,Right
4693,-0.0023383498191833496,280,318.7541198730469,Right
4694,-0.029804013669490814,280,308.7900390625,Right
4695,-0.06136836111545563,278,264.4817810058594,Right
4696,0.06144788861274719,276,345.914794921875,Right
4697,-0.0036438931711018085,274,309.1144714355469,Right
4698,0.011457173153758049,272,318.6862487792969,Straight
4699,0.015289726667106152,271,327.56256103515625,Straight
4700,-0.08775436133146286,269,284.9150085449219,Straight
4701,0.0573350191116333,267,331.6416320800781,Straight
4702,-0.09002437442541122,265,289.9285583496094,Straight
4703,0.0009188196272589266,263,323.953857421875,Straight
4704,-0.06636635959148407,261,312.421875,Right
4705,-0.042396098375320435,259,306.7096252441406,Right
4706,0.009145742282271385,257,318.6475524902344,Right
4707,-0.025446578860282898,255,303.64984130859375,Right
4708,0.010517816990613937,253,319.9718017578125,Right
4709,-0.08612237870693207,251,296.90850830078125,Straight
4710,0.01707354001700878,249,314.4761657714844,Straight
4711,-0.010831734165549278,247,310.07098388671875,Straight
4712,-0.05250698700547218,245,304.2649841308594,Straight
4713,0.042887985706329346,243,312.1502685546875,Straight
4714,-0.05941293016076088,241,300.4895324707031,Straight
4715,-0.10548252612352371,239,285.972900390625,Straight
4716,0.09738753736019135,237,334.9066162109375,Right
4717,-0.05605927109718323,235,297.91802978515625,Right
4718,-0.0862506553530693,233,284.68084716796875,Right
4719,0.08490807563066483,231,330.19842529296875,Right
4720,-0.018324868753552437,229,298.2366027832031,Right
4721,-0.10375523567199707,227,279.6015930175781,Right
4722,0.05090517923235893,225,324.8651123046875,Right
4723,-0.052768073976039886,223,292.244140625,Right
4724,-0.08961114287376404,221,284.513671875,Right
4725,-0.05817123502492905,219,302.5484619140625,Right
4726,-0.1334984451532364,217,306.5084533691406,Right
4727,-0.05825021117925644,215,304.1363830566406,Right
4728,0.07174903899431229,213,332.57781982421875,Right
4729,-0.004640298429876566,211,322.6016540527344,Right
4730,-0.05374066159129143,209,296.8477783203125,Right
4731,0.01332768052816391,207,305.2271728515625,Right
4732,0.11138965934515,205,346.9302062988281,Right
4733,-0.027678530663251877,203,313.7724914550781,Right
4734,-0.044997844845056534,201,315.3036804199219,Right
4735,0.00672382116317749,199,330.9052429199219,Right
4736,0.0356128066778183,195,338.5215759277344,Right
4737,-0.039800435304641724,193,307.6081848144531,Right
4738,0.3905940055847168,191,371.6645202636719,Right
4739,0.24998532235622406,189,383.4465026855469,Right
4740,0.11148762702941895,189,351.101318359375,Right
4741,-0.013047367334365845,190,284.26617431640625,Right
4742,0.32139208912849426,191,395.3501281738281,Right
4743,0.3257997930049896,193,409.15386962890625,Right
4744,0.07516893744468689,194,301.9964904785156,Right
4745,0.09598199278116226,195,345.4587097167969,Right
4746,0.3344250023365021,196,398.7737121582031,Right
4747,0.24187448620796204,196,393.20574951171875,Right
4748,-0.04331066086888313,197,299.11676025390625,Right
4749,-0.12154871225357056,198,318.08453369140625,Right
4750,-0.025024153292179108,200,342.1635437011719,Right
4751,-0.035541798919439316,201,318.4235534667969,Right
4752,0.003685641335323453,202,339.94659423828125,Right
4753,0.018223904073238373,203,345.8320007324219,Right
4754,-0.054638758301734924,204,322.30889892578125,Right
4755,-0.0052688876166939735,205,322.00592041015625,Right
4756,-0.02129911631345749,207,335.3349609375,Right
4757,0.013394366018474102,208,333.5776062011719,Right
4758,0.055928442627191544,208,334.7727355957031,Right
4759,0.15048815310001373,209,334.5447082519531,Right
4760,-0.012725823558866978,210,328.04150390625,Right
4761,0.04396313801407814,211,338.41943359375,Right
4762,0.1986914873123169,212,337.8505554199219,Straight
4763,-0.051867060363292694,214,311.9881896972656,Straight
4764,0.025974230840802193,215,320.1512451171875,Straight
4765,-0.026819288730621338,216,321.9169921875,Straight
4766,0.003910657484084368,217,301.9067687988281,Straight
4767,0.0629948228597641,218,315.7242736816406,Straight
4768,0.047453682869672775,219,315.0748596191406,Straight
4769,-0.11497265100479126,220,285.0294189453125,Straight
4770,-0.03207237645983696,222,308.8272399902344,Straight
4771,0.06865759938955307,223,321.6957092285156,Straight
4772,-0.1090691089630127,224,280.587158203125,Straight
4773,-0.01811709813773632,225,314.0722351074219,Straight
4774,0.10787928104400635,225,321.7550964355469,Straight
4775,-0.05252654850482941,226,291.90338134765625,Straight
4776,0.057223424315452576,227,321.7150573730469,Straight
4777,0.0683073177933693,229,321.46722412109375,Straight
4778,-0.10934387892484665,230,280.5931701660156,Right
4779,-0.0021418200340121984,231,322.1097412109375,Right
4780,0.12401655316352844,232,326.7539978027344,Right
4781,0.009138931520283222,233,292.722412109375,Right
4782,-0.09503135085105896,234,304.1492919921875,Right
4783,0.043084822595119476,234,314.64068603515625,Right
4784,-0.015022625215351582,236,287.9418640136719,Straight
4785,0.03523667901754379,237,326.3705139160156,Straight
4786,0.03409430384635925,238,313.1771240234375,Straight
4787,-0.16041408479213715,239,283.7781982421875,Straight
4788,0.08138392865657806,239,329.5904235839844,Straight
4789,0.042471084743738174,240,317.9112548828125,Straight
4790,-0.15566907823085785,241,286.5191345214844,Straight
